url,location
www.demis.nl,"[51.9875137, 4.377083799999999]"
www.getroadmap.com,"[52.0119161, 4.3535994]"
www.nightbalance.com/,"[52.0901732, 4.3242702]"
4foldcontainers.com/,"[51.9876592, 4.376999]"
e-trailer.nl/,"[52.0404834, 4.3286722]"
sireto.com,"[52.0021919, 4.3735766]"
onlinepaymentplatform.com/,"[52.0063185, 4.3635353]"
www.rewindplayfastforward.nl,"[52.0116509, 4.3528256]"
hospitalityservicedelft.nl/,"[52.00663429999999, 4.357507]"
petitemuslima.com/,"[-1, -1]"
www.samson-it.nl,"[51.99674539999999, 4.3832054]"
www.moxio.com/,"[51.987457, 4.377021000000001]"
woub.chat/,"[52.0155954, 4.298113]"
www.aenova.nl,"[52.0049663, 4.3618999]"
www.prowareness.nl/,"[52.0259787, 4.3565912]"
www.durfdigital.nl/,"[-1, -1]"
www.delft.nl/en,"[52.01157689999999, 4.3570677]"
www.gemvision.io,"[51.9071995, 4.462739399999999]"
fulfoods.com/,"[52.0120819, 4.3569305]"
acoustic-insight.com/,"[51.9933333, 4.3869444]"
www.leeghwater.nl/nl/studenten,"[52.0003857, 4.3721456]"
www.delftsblaeu.nl/,"[51.994512, 4.365735000000001]"
www.solvge.com/,"[51.9933333, 4.3869444]"
www.infinite-acres.com,"[52.0398897, 4.3585775]"
www.flexportal.nl,"[51.9934806, 4.387112399999999]"
www.mountox.nl,"[51.9875137, 4.377083799999999]"
fdi.nl/,"[51.9858836, 4.3876967]"
3su.nl,"[52.1273704, 5.0458288]"
dyvascloset.com/,"[52.012729, 4.359017]"
www.ejbdesignery.nl,"[52.0121347, 4.3594997]"
www.globalventu.com,"[52.0021919, 4.3735766]"
www.hollandptc.nl,"[51.9905751, 4.3835982]"
www.kalpana-systems.com/,"[51.9931568, 4.385791999999999]"
www.ke-chain.com/,"[51.99364, 4.387074]"
www.e-mergo.nl,"[51.9963189, 4.3848956]"
www.goodhout.com/,"[51.909248, 4.422135]"
www.momomedical.com,"[51.9931568, 4.385791999999999]"
qblox.com/,"[51.9959388, 4.3824343]"
www.cityanalytics.nl/,"[51.9933333, 4.3869444]"
www.medicaldelta.nl/,"[52.0093469, 4.3526808]"
bitnomica.com/,"[51.9938078, 4.3872596]"
dredging.org,"[51.9875137, 4.377083799999999]"
www.delft-circuits.com,"[51.99515969999999, 4.3672984]"
fontoplumo.nl/shop/en/,"[52.0126421, 4.3619298]"
www.dutchuas.nl,"[51.9931639, 4.3857805]"
ans.app,"[51.9931568, 4.385791999999999]"
https://www.keykeg.com/,"[52.9110922, 4.789281799999999]"
qutech.nl/,"[52.0003988, 4.3750165]"
xinaps.com/,"[51.9931568, 4.385791999999999]"
www.smart-ship.eu/,"[51.9934806, 4.387112399999999]"
aerlabs.com/,"[51.9234551, 4.4691239]"
www.allesvoordefiets.nl/,"[52.0119634, 4.3629305]"
www.teamtakt.nl/bedrijven,"[52.006074, 4.359052]"
www.pkfwallast.nl/en/home/,"[51.9973018, 4.3862656]"
plotwise.com,"[52.0102591, 4.3754903]"
kissthefrog.nl,"[52.0206557, 4.351926499999999]"
www.hukseflux.com/,"[51.9978566, 4.3835423]"
www.stcorp.nl,"[52.1628572, 4.4886643]"
www.oldelft.com/,"[51.9877908, 4.3811004]"
www.meatable.com/,"[52.0184194, 4.3411599]"
www.slamortho.com,"[51.9934806, 4.387112399999999]"
www.groundstate.nl,"[52.0111877, 4.3618287]"
https://www.composites.nl/,"[51.993323, 4.385606999999999]"
www.t-minus.nl/,"[51.993398, 4.386851]"
www.allocacoc.com/,"[51.9884905, 4.3751035]"
pats-drones.com/,"[51.98990939999999, 4.3753215]"
www.quantware.eu/,"[51.99588989999999, 4.382248]"
www.vizionz.nl/,"[52.013972, 4.3768113]"
www.xelion.com,"[52.0129771, 4.3750133]"
www.webvoordeelwinkel.nl,"[52.0048821, 4.3230322]"
denoize.com/,"[51.9936732, 4.3867152]"
www.bpf.eu,"[52.0185452, 4.343770999999999]"
kopano.com/,"[51.996367, 4.3849652]"
vibestechnology.com/,"[51.9936584, 4.3866591]"
www.superlease.nl,"[51.9997589, 4.3422493]"
www.elemetal.eu/,"[51.9826105, 4.3745078]"
www.basiliskconcrete.com/,"[51.9849104, 4.3772686]"
https://rescue.resqtec.com/,"[52.2684021, 4.5624633]"
parkerendelft.com,"[52.0108204, 4.3546967]"
www.code.nl/nl/home,"[52.0170196, 4.3464757]"
www.femto.eu,"[52.0109057, 4.3562656]"
pinkie.nu,"[51.8913794, 4.500183499999999]"
www.arablu.nl,"[-1, -1]"
www.nurtio.com,"[-1, -1]"
www.primevision.com/,"[52.013972, 4.3768113]"
www.seastate5.com,"[51.9934806, 4.387112399999999]"
tilercharge.com/,"[51.9936995, 4.3717256]"
www.carbonracing.nl/,"[52.0073261, 4.3564129]"
www.qlayers.com/,"[51.9875735, 4.3687707]"
www.ruitendame.nl/,"[52.01738659999999, 4.3544653]"
https://satsearch.co/,"[52.2138442, 4.4326788]"
www.ilovedesigners.nl/,"[52.0095959, 4.359202499999999]"
www.mag-ic.nl/,"[51.9873308, 4.3662472]"
www.zite.nl/,"[52.0158375, 4.355077]"
slimygreenstuff.com/,"[51.9987249, 4.3734335]"
www.ambachtdelft.nl,"[52.01395609999999, 4.3514133]"
www.octatube.nl/,"[52.0009082, 4.3668753]"
www.luvion.com/,"[52.0265165, 4.3634204]"
www.allrackets.com,"[51.9882074, 4.3741676]"
www.ale.nl,"[51.987045, 4.3688125]"
www.carya.nl,"[51.9875137, 4.377083799999999]"
www.thetimcompany.com,"[51.98544889999999, 4.3883453]"
www.mai-bags.com,"[52.0097604, 4.3634837]"
www.levitascomposites.com/,"[51.9662157, 5.3365293]"
https://vsv.tudelft.nl/,"[52.0006166, 4.370952]"
www.loop-of-life.com/,"[51.994108, 4.3615691]"
www.lumos-dev.com/,"[51.9934806, 4.387112399999999]"
mobbr.com,"[52.0063185, 4.3635353]"
www.systemsnavigator.com/,"[51.9960878, 4.3830309]"
www.imachine.nl,"[52.011197, 4.361871499999999]"
www.insocial.eu,"[52.0123793, 4.3531238]"
flapper-drones.com/wp/,"[-1, -1]"
https://repaircafedelft.nl/,"[51.99819670000001, 4.3784141]"
www.oliviawireless.com,"[52.0021919, 4.3735766]"
vpinstruments.com,"[52.0035034, 4.343611999999999]"
https://e-trailer.nl/,"[52.0404834, 4.3286722]"
www.sping.nl,"[52.0072329, 4.359632599999999]"
www.outperformplanning.com/,"[52.00982880000001, 4.3576723]"
breeze.social,"[52.0072234, 4.369496199999999]"
www.biotechcampusdelft.com,"[52.0154815, 4.3389072]"
www.zegwaardrioolontstopping.nl/,"[51.9904094, 4.3688366]"
ivido.nl/,"[52.079161, 4.341876099999999]"
kippzonen.com,"[52.0633632, 4.5314903]"
www.delftrobotics.com,"[52.0015633, 4.367928399999999]"
www.connekt.nl,"[52.0089602, 4.3661372]"
www.estunt.nl/,"[52.0309306, 4.4463354]"
www.west.nl,"[51.98871090000001, 4.363129799999999]"
www.presentconnection.eu/,"[52.0061131, 4.3761029]"
svlife.nl/nl,"[51.9897321, 4.3796852]"
